From	To
B5MCQ5	HGNC:30168
B5MCW9	HGNC:1316
B5MCX3	HGNC:7729
B5MCY1	HGNC:45037
B5ME19	HGNC:26347
B5ME49	HGNC:15582
B5MEC7	HGNC:14947
B6F210	HGNC:4624
B6ZDS1	HGNC:6063
B7TY16	HGNC:163
B7WNR0	HGNC:399
B7Z1R5	HGNC:851
B7Z1T4	HGNC:9501
B7Z382	HGNC:8022
B7Z3C7	HGNC:685
B7Z3E2	HGNC:9323
B7Z3I5	HGNC:20234
B7Z403	HGNC:14111
B7Z418	HGNC:6040
B7Z452	HGNC:3569
B7Z4B8	HGNC:17011
B7Z4Q3	HGNC:26946
B7Z4S1	HGNC:11612
B7Z514	HGNC:4624
B7Z5C0	HGNC:5229
B7Z5E2	HGNC:9548
B7Z5R3	HGNC:15687
B7Z6E8	HGNC:13867
B7Z6Z4	HGNC:7587
B7Z7A9	HGNC:8896
B7Z7P8	HGNC:3477
B7Z7Q0	HGNC:9002
B7Z7Z8	HGNC:3721
B7Z815	HGNC:12630
B7Z888	HGNC:20959
B7Z9L0	HGNC:1617
B7ZA04	HGNC:2964
B7ZA11	HGNC:433
B7ZAR1	HGNC:1618
B7ZAV6	HGNC:6400
B7ZB63	HGNC:654
B7ZKM8	HGNC:10704
B7ZKT7	HGNC:14673
B7ZKZ1	HGNC:9467
B7ZL00	HGNC:17052
B7ZLS0	HGNC:435
B8ZZF0	HGNC:9276
B8ZZU8	HGNC:11619
B9A053	HGNC:25651
B9ZVP7	HGNC:10316
B9ZVX0	HGNC:2876
B9ZVX7	HGNC:4632
C0LTP3	HGNC:18958
C4AM86	HGNC:6453
C9IZA5	HGNC:12666
C9IZE4	HGNC:9564
C9J1E7	HGNC:554
C9J1Z8	HGNC:658
C9J2C4	HGNC:14888
C9J2G0	HGNC:1106
C9J2Y9	HGNC:9188
C9J4N6	HGNC:5382
C9J592	HGNC:9788
C9J5D1	HGNC:29533
C9J5S7	HGNC:9253
C9J6B1	HGNC:9840
C9J6C0	HGNC:7607
C9J7I2	HGNC:24641
C9J7S3	HGNC:2678
C9J8H1	HGNC:857
C9J8S3	HGNC:9788
C9J9K3	HGNC:6502
C9J9M4	HGNC:9554
C9J9W2	HGNC:6513
C9JAQ9	HGNC:30859
C9JB56	HGNC:28951
C9JC03	HGNC:3242
C9JC84	HGNC:3694
C9JCE7	HGNC:14362
C9JEH7	HGNC:10425
C9JEJ2	HGNC:8754
C9JEV6	HGNC:17174
C9JF31	HGNC:25220
C9JFE4	HGNC:4549
C9JFW8	HGNC:23536
C9JIR6	HGNC:9276
C9JJP5	HGNC:11758
C9JKM9	HGNC:12825
C9JKR2	HGNC:399
C9JL73	HGNC:853
C9JLS9	HGNC:9548
C9JNQ3	HGNC:9466
C9JNV2	HGNC:29629
C9JNW5	HGNC:10325
C9JPP2	HGNC:17898
C9JQD4	HGNC:14651
C9JTV5	HGNC:705
C9JW69	HGNC:1913
C9JWM7	HGNC:707
C9JXA5	HGNC:4398
C9JYS8	HGNC:7871
C9JZD1	HGNC:706
C9JZI1	HGNC:9972
C9K004	HGNC:9580
D3DNT2	HGNC:3296
D3DQV9	HGNC:3297
D3YTJ7	HGNC:9465
D6PXK4	HGNC:166
D6R904	HGNC:12012
D6R938	HGNC:1462
D6R9A6	HGNC:5000
D6R9I9	HGNC:69
D6R9P4	HGNC:4417
D6RAF8	HGNC:5036
D6RAT0	HGNC:10421
D6RAX2	HGNC:2494
D6RAX7	HGNC:16702
D6RB78	HGNC:17468
D6RBE9	HGNC:543
D6RBL5	HGNC:543
D6RBZ0	HGNC:5034
D6RCM8	HGNC:17260
D6RD18	HGNC:5034
D6RD66	HGNC:12754
D6RDW3	HGNC:4685
D6REE7	HGNC:10252
D6REL8	HGNC:3662
D6REN6	HGNC:4816
D6RER5	HGNC:25589
D6REX3	HGNC:17052
D6RF93	HGNC:7794
D6RF95	HGNC:3571
D6RG13	HGNC:10421
D6RG15	HGNC:9621
D6RH06	HGNC:22958
D6RH30	HGNC:7794
D6RHD5	HGNC:399
D6RJI2	HGNC:5244
D9YZV8	HGNC:12010
E1P5S2	HGNC:15923
E1P660	HGNC:12998
E5RFI3	HGNC:9300
E5RFJ0	HGNC:2988
E5RFJ3	HGNC:23360
E5RG68	HGNC:2316
E5RGA2	HGNC:3277
E5RGJ8	HGNC:24225
E5RGZ4	HGNC:3354
E5RH77	HGNC:10387
E5RI16	HGNC:25216
E5RI99	HGNC:10333
E5RIF2	HGNC:15772
E5RIG2	HGNC:14026
E5RIJ0	HGNC:9174
E5RIM3	HGNC:9043
E5RJ68	HGNC:566
E7EM57	HGNC:4057
E7EM64	HGNC:21749
E7EMB1	HGNC:17070
E7EN95	HGNC:3755
E7END7	HGNC:9758
E7ENJ6	HGNC:13667
E7ENM8	HGNC:3657
E7ENR4	HGNC:4922
E7ENT4	HGNC:30578
E7ENZ3	HGNC:1618
E7EP32	HGNC:4398
E7EPA7	HGNC:11834
E7EPD0	HGNC:11982
E7EPK1	HGNC:1717
E7EPM6	HGNC:3569
E7EQB2	HGNC:6720
E7EQB9	HGNC:20194
E7EQG2	HGNC:3284
E7EQN5	HGNC:674
E7EQR4	HGNC:12691
E7EQR6	HGNC:11655
E7EQS9	HGNC:26935
E7EQV3	HGNC:8554
E7ERF2	HGNC:11655
E7ERI3	HGNC:11572
E7ERJ7	HGNC:8554
E7ERL0	HGNC:7849
E7ERW7	HGNC:2988
E7ES43	HGNC:17041
E7ESC6	HGNC:14108
E7ESG8	HGNC:9299
E7ESI4	HGNC:6229
E7ESJ3	HGNC:29186
E7ESV4	HGNC:9857
E7ET33	HGNC:6168
E7ETD8	HGNC:9282
E7ETR0	HGNC:10474
E7ETU3	HGNC:1736
E7ETY4	HGNC:3332
E7EU13	HGNC:16925
E7EU23	HGNC:4227
E7EU84	HGNC:32
E7EU96	HGNC:2457
E7EUC7	HGNC:12527
E7EUE6	HGNC:10590
E7EUN5	HGNC:16884
E7EUT4	HGNC:4141
E7EV07	HGNC:684
E7EVA0	HGNC:6862
E7EVF4	HGNC:13760
E7EVK4	HGNC:30375
E7EVS6	HGNC:132
E7EVW7	HGNC:4844
E7EW34	HGNC:9559
E7EW44	HGNC:2253
E7EW49	HGNC:17078
E7EWC2	HGNC:6111
E7EWL7	HGNC:2900
E7EWW9	HGNC:4632
E7EX17	HGNC:3285
E7EX29	HGNC:12855
E7EX44	HGNC:1441
E9PAK5	HGNC:29044
E9PAU2	HGNC:30296
E9PAV2	HGNC:9542
E9PAV3	HGNC:7629
E9PB39	HGNC:14103
E9PB70	HGNC:6318
E9PB90	HGNC:4923
E9PBF6	HGNC:6637
E9PBG7	HGNC:1462
E9PBI4	HGNC:9612
E9PBJ0	HGNC:7516
E9PBR5	HGNC:9645
E9PBV6	HGNC:6707
E9PC69	HGNC:3332
E9PC85	HGNC:18618
E9PCQ3	HGNC:12613
E9PCW9	HGNC:17514
E9PCY7	HGNC:5041
E9PD53	HGNC:14013
E9PD68	HGNC:2365
E9PDX9	HGNC:14130
E9PEM5	HGNC:1742
E9PEM9	HGNC:4634
E9PEN8	HGNC:14108
E9PEQ4	HGNC:2974
E9PET8	HGNC:6325
E9PF41	HGNC:169
E9PF63	HGNC:10252
E9PFM1	HGNC:3296
E9PG15	HGNC:12854
E9PG30	HGNC:145
E9PGB2	HGNC:32
E9PGK1	HGNC:544
E9PGM4	HGNC:4180
E9PGQ4	HGNC:17069
E9PGT3	HGNC:10430
E9PGZ2	HGNC:6702
E9PH06	HGNC:9859
E9PHF0	HGNC:3754
E9PHI6	HGNC:18745
E9PHS0	HGNC:6508
E9PI65	HGNC:5241
E9PIP3	HGNC:13945
E9PJC0	HGNC:9635
E9PK14	HGNC:30301
E9PK25	HGNC:1874
E9PK47	HGNC:9725
E9PKC5	HGNC:470
E9PKE3	HGNC:5241
E9PKF6	HGNC:1173
E9PKG1	HGNC:5187
E9PKL7	HGNC:9763
E9PL09	HGNC:10420
E9PL17	HGNC:16999
E9PL22	HGNC:16931
E9PL38	HGNC:9558
E9PLD0	HGNC:18370
E9PLK3	HGNC:7900
E9PLP0	HGNC:1493
E9PM69	HGNC:9549
E9PMD7	HGNC:9281
E9PMV1	HGNC:9069
E9PN11	HGNC:669
E9PNG0	HGNC:469
